asset,omega,alpha,gamma,beta,nu,persistence
BTC,1.891941463296031e-05,0.016111839136636552,0.0873576219902465,0.9162150411155676,4.354716954932065,0.9760056912473275
ETH,0.0005436638549930376,0.05635191138831727,0.23608259545197938,0.49621939251843805,3.6300018994054137,0.670612601632745
USDe,4.03464075220769e-09,0.049999939982606795,0.04999993932153295,0.9049988916761601,5.98464628726928,0.9799988013195333
USDC,2.1198983463070426e-10,0.0002428222623866136,1.1889099952134645,0.0006247786658595193,14.163744160461949,0.5953225985349784
