date,BTC,ETH,USDe,USDC
2024-02-21,0.0013872136464523552,0.0012590106284698333,4.1826734455566796e-07,1.005071149636518e-08
2024-02-22,0.0012977515227148941,0.0012259622126657042,3.8271143253954413e-07,8.61403780051402e-06
2024-02-23,0.001219358757719108,0.0011520312167435977,4.220935789955855e-07,8.609351869500713e-06
2024-02-24,0.0011495115268804284,0.001193562570913242,4.056467339955984e-07,8.610079072356844e-06
2024-02-25,0.0010763781240055803,0.0011692429045235759,3.724858772838212e-07,8.619868024588441e-06
2024-02-26,0.0010052574634054224,0.0012131805853101594,3.4137889816943023e-07,8.587525224434714e-06
2024-02-27,0.0009841299742015194,0.0011716389397008655,3.5200446005532926e-07,8.61710758098368e-06
2024-02-28,0.0009543748123550007,0.0011494234428859158,3.3465355300030125e-07,8.607620971378599e-06
2024-02-29,0.0010254324148312823,0.0012181648501141983,3.677616280644091e-07,8.613097178343291e-06
2024-03-01,0.0010052449909658454,0.0011947404024931878,5.099653789393933e-07,8.592171762088703e-06
2024-03-02,0.0009463514688711599,0.0011803200470857163,4.824800859423392e-07,8.627451132326957e-06
2024-03-03,0.0008906919674608315,0.001132741861638055,4.407999753393821e-07,8.596841743469643e-06
2024-03-04,0.0008402195741200168,0.0011290653122774262,4.137287558304039e-07,8.618945881016058e-06
2024-03-05,0.0008878239860992684,0.001192112839114815,4.106314392870595e-07,8.614379770702428e-06
2024-03-06,0.0013211292677624926,0.0012594799648839663,3.767926731860189e-07,8.616028289848752e-06
2024-03-07,0.0012494945497267577,0.0014615483107804123,3.5961993065982257e-07,8.592266979865633e-06
2024-03-08,0.0011661078919955226,0.0012811267846810025,3.484944623126578e-07,8.601753141617018e-06
2024-03-09,0.0010938889786059366,0.0011807671205007451,3.396449512134742e-07,8.627550646847911e-06
2024-03-10,0.0010212796083462364,0.0011318746588437109,3.1342079972159324e-07,8.623260676058163e-06
2024-03-11,0.0009555202898655085,0.0011258909151827218,4.5049986426205077e-07,8.606252157882999e-06
2024-03-12,0.0009253548370178058,0.0012269378740241027,4.703048354951621e-07,8.60679161496912e-06
2024-03-13,0.000875306054498707,0.0012817735773893372,4.316346984574228e-07,8.60998482393561e-06
2024-03-14,0.0008287001286263111,0.0011824266047030588,4.0457191651313186e-07,8.593356821358338e-06
2024-03-15,0.000835326027790373,0.0014090860465538846,5.630236966052833e-07,8.625166203522261e-06
2024-03-16,0.0008680418498850165,0.0016750897839196148,5.23407534737711e-07,8.619872834182684e-06
2024-03-17,0.0011975383736739333,0.00236339968221575,5.083278317806401e-07,8.617497325871876e-06
2024-03-18,0.0011500150641929878,0.001780678700953416,4.652547688959311e-07,8.613745806489578e-06
2024-03-19,0.0010888399696780831,0.0017726219107483713,4.3449287875454895e-07,8.587609160321274e-06
2024-03-20,0.0018045214991955336,0.004813882104635062,4.248527568677653e-07,8.627898352394755e-06
2024-03-21,0.001809700136069875,0.0035794766100073422,4.2182328791981374e-07,8.617229374960405e-06
2024-03-22,0.001814583024713423,0.0023284944623811607,3.959231287405934e-07,8.604146470673995e-06
2024-03-23,0.0017549296988103769,0.0023256241687669445,3.6255588634687814e-07,8.60495493695312e-06
2024-03-24,0.0016271085301075854,0.0016977737503116614,3.322927181040096e-07,8.623800695999492e-06
2024-03-25,0.0015471012566359342,0.001455794721900326,3.0539536783929996e-07,8.60570844676629e-06
2024-03-26,0.0014616346095920783,0.0013520948688973558,2.829212333442335e-07,8.588970096460898e-06
2024-03-27,0.0013580921826205684,0.001214687493859315,2.643091715811697e-07,8.623236337924676e-06
2024-03-28,0.0012694941299974975,0.00131864092191219,2.5184862734777163e-07,8.612191056793248e-06
2024-03-29,0.0011874153076635548,0.0012156956093679412,2.358123640501793e-07,8.605602591351107e-06
2024-03-30,0.0011224128801671815,0.0012010078386824057,2.3575111799910374e-07,8.596834679063785e-06
2024-03-31,0.001048703573182795,0.0011397735121294636,2.1739530389952912e-07,8.617385938514796e-06
2024-04-01,0.000988888175556434,0.0011971759245557273,2.2823724797824857e-07,8.613926143044034e-06
2024-04-02,0.0009810497550558352,0.0015950972983707452,2.180158108833389e-07,8.614844906896584e-06
2024-04-03,0.0013302439755993743,0.0026403335344421528,3.619659757134171e-07,8.605511500925098e-06
2024-04-04,0.0012387340874734265,0.0018603931991412065,6.410753251871475e-07,8.610441756743652e-06
2024-04-05,0.0011764651864622046,0.0014688515047659506,5.883148470559478e-07,8.614112409417499e-06
2024-04-06,0.0011071465125769167,0.0012751029701993143,5.374805054087609e-07,8.593355410302983e-06
2024-04-07,0.0010370927722882523,0.0011831792496996263,4.931358936676883e-07,8.62864465252062e-06
2024-04-08,0.0009698213095918598,0.00118005760782341,4.5664024115600946e-07,8.5979385539551e-06
2024-04-09,0.0009240226874725335,0.0013903096916456463,4.321340254268227e-07,8.636698244151461e-06
2024-04-10,0.0009963681004919814,0.002037425910217739,4.164889646910184e-07,8.590454843969377e-06
2024-04-11,0.0009386388698242464,0.0015619178210586394,3.857819741445835e-07,8.625891752963135e-06
2024-04-12,0.0008849617277423813,0.0013511283823178378,3.540509871137318e-07,8.623986685336635e-06
2024-04-13,0.0010113529887848269,0.0029641514841341923,5.335218282433262e-07,8.578125856437473e-06
2024-04-14,0.0012217692313667204,0.0036979569698362127,4.963563962462276e-07,8.608234142294269e-06
2024-04-15,0.0011522978879201934,0.002518149804609806,4.5465197798725595e-07,8.642379354404102e-06
2024-04-16,0.0012084568508817291,0.001880666142178406,4.414929700700391e-07,8.597955476636973e-06
2024-04-17,0.0011266894238503424,0.0014841960267648112,4.097422174883131e-07,8.596085715422687e-06
2024-04-18,0.001222493585527117,0.0015914017511570698,3.8814954117805503e-07,8.61044131592552e-06
2024-04-19,0.001159513968419655,0.0013752463310066736,3.5653872642487763e-07,8.624808047511668e-06
2024-04-20,0.0010816941194997814,0.0012270464687913023,3.270592533203838e-07,8.603693616428779e-06
2024-04-21,0.0010150422022190575,0.00121037787554225,3.528072008617584e-07,8.60742773394387e-06
2024-04-22,0.000949063069419422,0.001146713402860957,3.313299593374172e-07,8.605512366503904e-06
2024-04-23,0.000901886452993955,0.0011299798912618095,3.0426700647802495e-07,8.614185595054713e-06
2024-04-24,0.0008497587852242138,0.0011064649004613122,2.9929415824407373e-07,8.605516545636827e-06
2024-04-25,0.0009084820091663906,0.0012725741412605127,3.861818118886151e-07,8.651813578926345e-06
2024-04-26,0.0008514326215842876,0.0011769701201985276,4.1806671634811597e-07,8.569111107747818e-06
2024-04-27,0.0008126417575999499,0.0011463597104558322,4.930391806411361e-07,8.617106114144995e-06
2024-04-28,0.0007665293686214963,0.0011965993106273878,4.5158163703260567e-07,8.606422785974036e-06
2024-04-29,0.0007237937510085644,0.0011381899995959771,4.1438360843350484e-07,8.613008916176833e-06
2024-04-30,0.0006841347267002379,0.0011676231482544422,3.811606955859025e-07,8.605417822707007e-06
2024-05-01,0.0009216738310155597,0.002353591596528827,3.727974162260046e-07,8.603408144476285e-06
2024-05-02,0.0010308901331920223,0.0017673907984375001,4.5117841376411383e-07,8.61300730184867e-06
2024-05-03,0.0009669025710805599,0.0014231055871885153,4.809038771553169e-07,8.622705442111608e-06
2024-05-04,0.0009659674095462382,0.0013323967229200966,4.463366846126178e-07,8.616572084266942e-06
2024-05-05,0.0009079015550029768,0.0012061806605474458,4.096470027661956e-07,8.603056752364212e-06
2024-05-06,0.0008508192876118869,0.0011447112218936654,3.7860839233175455e-07,8.62251229877448e-06
2024-05-07,0.0008181990223796563,0.0012752157172577112,3.4737268498748564e-07,8.59126816546095e-06
2024-05-08,0.0007869484857168041,0.0012723713409329603,3.1910425610129977e-07,8.594897981080709e-06
2024-05-09,0.0007761820096027855,0.001208000536992502,3.000128498555012e-07,8.615836713786265e-06
2024-05-10,0.0007444059848936696,0.001168299978100053,3.383332763912671e-07,8.624621892569618e-06
2024-05-11,0.0008395861825248607,0.0016410522820690717,3.143400899341504e-07,8.613390755377476e-06
2024-05-12,0.0007881627004141218,0.001358043892265299,4.1164361397310097e-07,8.597744450696295e-06
2024-05-13,0.0007428440611480001,0.001219752004466527,4.1962799299870926e-07,8.615919610445708e-06
2024-05-14,0.0007082145665663936,0.0011520324927416867,3.9787524651899665e-07,8.609908813881616e-06
2024-05-15,0.000717064683711618,0.001270059777294115,3.8088765445982335e-07,8.617665627395759e-06
2024-05-16,0.0007633176535174243,0.0013327201711090277,3.5709144385889376e-07,8.612470835412381e-06
2024-05-17,0.0007444500828806895,0.00147422002075014,3.2750338732684364e-07,8.595914712570689e-06
2024-05-18,0.0007130704486914084,0.0014146344842357525,3.2322097026495464e-07,8.614555809081954e-06
2024-05-19,0.0006725823914520397,0.0012508997742079185,2.967081914481234e-07,8.616120579170148e-06
2024-05-20,0.000645688357498434,0.0012402525162324885,2.9158829500403187e-07,8.598475600709136e-06
2024-05-21,0.0007010459475465124,0.0029172030034679665,2.7828722833792373e-07,8.60569150569208e-06
2024-05-22,0.0006973176817265875,0.0020566159709368005,2.6692861243852046e-07,8.622696202552817e-06
2024-05-23,0.0006802106832532854,0.0016171004811165878,2.6791952850666775e-07,8.594008660240322e-06
2024-05-24,0.0006740211125119405,0.0013528724928269992,2.465980794940736e-07,8.630472299626273e-06
2024-05-25,0.0006376582887952416,0.0012638888811549083,2.3052921320444868e-07,8.610092279257598e-06
2024-05-26,0.0006049589589204873,0.0011731088626112012,2.12751648872826e-07,8.595095813165275e-06
2024-05-27,0.0005857177884480362,0.0011497753781835544,2.1758787293175238e-07,8.613819719778306e-06
2024-05-28,0.0005581059412144618,0.0011315115563025925,2.0543859056992827e-07,8.617586821182903e-06
2024-05-29,0.0005570885996217461,0.0011545083726586952,1.940313316549252e-07,8.607065781658165e-06
2024-05-30,0.0005412177521169544,0.00123209696746194,1.7964001622380116e-07,8.61484062068915e-06
2024-05-31,0.0005168961399037876,0.001159640880069614,1.9644936819718072e-07,8.605053906888825e-06
2024-06-01,0.0005100143218784335,0.0011199588756756818,2.4132072643925867e-07,8.619314551463804e-06
2024-06-02,0.00048635121586279806,0.0011111519015583903,2.269879395144833e-07,8.604877163051992e-06
2024-06-03,0.0004645259425443831,0.0011142940012927869,3.518812236677398e-07,8.599110595538344e-06
2024-06-04,0.00044828584933342535,0.0011000813455106907,4.38937511732028e-07,8.61528847349278e-06
2024-06-05,0.00043983925064191903,0.00109844314795633,4.0194499310493305e-07,8.624168199767371e-06
2024-06-06,0.0004227246962995832,0.0010995799773547785,3.679095050931884e-07,8.60259270189803e-06
2024-06-07,0.0004085499028194351,0.0011412343805772697,3.4322048534188165e-07,8.591257477657769e-06
2024-06-08,0.00043605307077470315,0.001470606456235363,3.14688357403145e-07,8.634863228844007e-06
2024-06-09,0.0004184853830045881,0.0012734663530242997,2.8883850842537627e-07,8.60324191322519e-06
2024-06-10,0.0004027099181118254,0.001178462869582874,2.8832698094803744e-07,8.604414577207402e-06
2024-06-11,0.0003883435441475004,0.001159087770939905,2.6503886212163546e-07,8.608702802471997e-06
2024-06-12,0.000480774505151254,0.001754354393830574,2.455662953410292e-07,8.623711895905453e-06
2024-06-13,0.0004622473290664684,0.0014319834947188804,2.313845738094635e-07,8.600402720698266e-06
2024-06-14,0.0004931802717101024,0.0014416139754431568,2.1538879858380743e-07,8.611174229987726e-06
2024-06-15,0.000484165347784528,0.0012597332534945193,2.933476879469361e-07,8.604958669975434e-06
2024-06-16,0.0004626257823168233,0.0012028719911122258,2.816191374962719e-07,8.624533084276965e-06
2024-06-17,0.0004434857443196328,0.0011544504000177865,2.589682845371783e-07,8.600038349897179e-06
2024-06-18,0.00042583471012603923,0.0013837284394477621,2.44071614891789e-07,8.61839576737421e-06
2024-06-19,0.00045320974821220567,0.0012468612360130576,2.3257762426817856e-07,8.607524000070062e-06
2024-06-20,0.000435039908539377,0.0011893597326635096,2.1453658136101246e-07,8.616759279252947e-06
2024-06-21,0.00041799930283001395,0.0011852539903347199,1.9861404952166877e-07,8.60551839143245e-06
2024-06-22,0.00041560385023697535,0.0011319950712867476,1.8379652230681678e-07,8.608976063353774e-06
2024-06-23,0.00039978637874497094,0.0011147914317341087,1.740502731580598e-07,8.607343705430537e-06
