,BTC,ETH,USDe,USDC,FROM
BTC,67.58705469658105,31.637579103082313,0.7541505768222169,0.021215623514442096,32.412945303418965
ETH,32.96582159365538,65.97839893366505,0.7489677539080746,0.30681171877149965,34.02160106633495
USDe,2.1616626831561625,1.242071438771173,96.47769898879886,0.11856688927380668,3.5223010112011366
USDC,0.058305394483568404,0.46445531716662697,0.19061827418525165,99.28662101416454,0.7133789858354476
TO,35.18578967129511,33.34410585902012,1.693736604915543,0.4465942315597431,
NET,2.7728443678761465,-0.6774952073148341,-1.8285644062855937,-0.26678475427570447,
Total%,17.66755659169763,17.66755659169763,17.66755659169763,17.66755659169763,17.66755659169763
