date,H_BTC_BTC,H_BTC_ETH,H_BTC_USDe,H_BTC_USDC,H_ETH_BTC,H_ETH_ETH,H_ETH_USDe,H_ETH_USDC,H_USDe_BTC,H_USDe_ETH,H_USDe_USDe,H_USDe_USDC,H_USDC_BTC,H_USDC_ETH,H_USDC_USDe,H_USDC_USDC
2024-02-22,0.001297751522714894,0.0010307167907951014,7.339401381939823e-06,-9.331201305095091e-07,0.0010307167907951014,0.001225962212665704,5.579213554074583e-06,-1.5253120332797269e-06,7.339401381939822e-06,5.579213554074583e-06,3.827114325395441e-07,5.426578553236609e-09,-9.331201305095091e-07,-1.525312033279727e-06,5.426578553236609e-09,8.614037800514018e-06
2024-02-23,0.001219358757719108,0.0009685072690831956,7.471355852561402e-06,-9.039530530117515e-07,0.0009685072690831956,0.0011520312167435974,5.679823822943504e-06,-1.4776271178096596e-06,7.471355852561402e-06,5.679823822943504e-06,4.220935789955854e-07,5.692530445497856e-09,-9.039530530117515e-07,-1.4776271178096596e-06,5.692530445497855e-09,8.609351869500713e-06
2024-02-24,0.0011495115268804284,0.0009571594756210619,7.111466880074222e-06,-8.777217353638484e-07,0.0009571594756210619,0.0011935625709132418,5.667536500127283e-06,-1.504142301444861e-06,7.111466880074222e-06,5.667536500127282e-06,4.0564673399559833e-07,5.58514764298699e-09,-8.777217353638484e-07,-1.5041423014448608e-06,5.585147642986989e-09,8.610079072356848e-06
2024-02-25,0.0010763781240055803,0.0009167266503404481,6.59426426748715e-06,-8.497453485855246e-07,0.0009167266503404481,0.0011692429045235759,5.3753376204217975e-06,-1.489460545782962e-06,6.59426426748715e-06,5.3753376204217975e-06,3.7248587728382115e-07,5.352971447870097e-09,-8.497453485855246e-07,-1.489460545782962e-06,5.352971447870097e-09,8.61986802458844e-06
2024-02-26,0.0010052574634054226,0.0009024146703496096,6.100791554986088e-06,-8.196875400794921e-07,0.0009024146703496096,0.0012131805853101594,5.241792144227699e-06,-1.5142891617586737e-06,6.100791554986088e-06,5.241792144227699e-06,3.413788981694302e-07,5.115468493222814e-09,-8.196875400794921e-07,-1.5142891617586735e-06,5.1154684932228136e-09,8.587525224434714e-06
2024-02-27,0.0009841299742015192,0.0008774614205469597,6.129594751141615e-06,-8.122755446054354e-07,0.0008774614205469596,0.001171638939700866,5.230833130715668e-06,-1.4907563449573664e-06,6.129594751141615e-06,5.230833130715668e-06,3.5200446005532926e-07,5.205855361835031e-09,-8.122755446054355e-07,-1.4907563449573664e-06,5.205855361835031e-09,8.617107580983678e-06
2024-02-28,0.0009543748123550005,0.0008558634411625089,5.885517811809736e-06,-7.994796638174093e-07,0.000855863441162509,0.0011494234428859158,5.051679316971802e-06,-1.4757436389750285e-06,5.885517811809736e-06,5.051679316971802e-06,3.3465355300030125e-07,5.069556899605648e-09,-7.994796638174093e-07,-1.4757436389750285e-06,5.0695568996056485e-09,8.607620971378599e-06
2024-02-29,0.0010254324148312821,0.0009132956068636838,6.395444593342708e-06,-8.288271496703617e-07,0.0009132956068636838,0.001218164850114198,5.451778114700152e-06,-1.5196426041279155e-06,6.395444593342708e-06,5.4517781147001516e-06,3.6776162806440916e-07,5.320559599273242e-09,-8.288271496703616e-07,-1.5196426041279155e-06,5.320559599273241e-09,8.613097178343288e-06
2024-03-01,0.0010052449909658452,0.0008955251184896164,7.456522143319915e-06,-8.199756497353979e-07,0.0008955251184896164,0.001194740402493188,6.3577913715682546e-06,-1.5033058020398626e-06,7.456522143319914e-06,6.357791371568254e-06,5.099653789393933e-07,6.24913810394112e-09,-8.19975649735398e-07,-1.5033058020398628e-06,6.24913810394112e-09,8.592171762088705e-06
2024-03-02,0.0009463514688711597,0.0008636369165104516,7.037129993086013e-06,-7.971057147286578e-07,0.0008636369165104517,0.0011803200470857165,6.146661206942453e-06,-1.4971462912483248e-06,7.037129993086012e-06,6.146661206942453e-06,4.824800859423391e-07,6.0970043990283735e-09,-7.971057147286578e-07,-1.4971462912483248e-06,6.0970043990283735e-09,8.627451132326957e-06
