date,resid_BTC,resid_ETH,resid_USDe,resid_USDC
2024-02-21,-0.009064605405065,-0.0140817899121473,4.94881852007069e-05,0.0001002093566331
2024-02-22,-0.0115738360992701,0.0005594167758135,-0.0008378321181156,3.0180333547611232e-05
2024-02-23,-0.0125703281753569,-0.0164097416710734,0.0003693951744925,2.77758359873992e-05
2024-02-24,0.0146519538123448,0.0242597121982883,-4.042011454505642e-05,0.0001210505372994
2024-02-25,0.0037890208987641,0.039758567541259,8.165539298318009e-05,-0.0001648611435342
2024-02-26,0.0522086663376595,0.0214150340459739,0.0008673194316675,-2.0396798998174832e-05
2024-02-27,0.0500669871499357,0.0207425015982562,-5.44659498217485e-05,-7.605699446577667e-05
2024-02-28,0.0931366209073965,0.0429346065401128,0.001087576396306,-1.3526836731350131e-05
2024-02-29,-0.0130380681228035,-0.0126764361390014,-0.0009723551533187,-0.0002238427882308
2024-03-01,0.0182881423507564,0.0278272244657686,0.0003332217067286,2.8795227911412996e-05
2024-03-02,-0.0043416674152074,-0.0034529162082518,1.32097137500382e-05,-0.0001643865804371
2024-03-03,0.014779029262992,0.0202866673646952,-0.0002486288482661,-6.442292413252781e-06
2024-03-04,0.0811895065045413,0.0395057330383925,0.0006725991901009,5.06793826296618e-06
2024-03-05,-0.0630657409001405,-0.0206670632539706,0.0001557958178842,7.96831349344044e-05
2024-03-06,0.0284591555080177,0.0720427495169546,-0.0003431918476205,-0.000141421254908
2024-03-07,0.0185998895132312,0.0146694213765721,0.0005557950341198,-0.0001836382300971
2024-03-08,0.0153288291228479,0.0049015317123595,0.0007807118363323,2.1939432100367512e-05
2024-03-09,0.0064116371510052,0.006323474767093,0.0005158816165971,0.000139293506202
2024-03-10,0.0102215488009809,-0.0084397365605061,-0.0011079611539944,7.206093844713383e-05
2024-03-11,0.0394757030328469,0.0469665470695035,-0.0010292457623076,3.5465930320537614e-05
2024-03-12,-0.0045688808822018,-0.0210787245490708,-0.0001779096098562,2.8511755709553385e-05
2024-03-13,0.023725188626858,0.0068968460925835,0.0004235113622302,-0.0001592514253788
2024-03-14,-0.0248568022357205,-0.0309231274798415,-0.001301871294985,4.660455314133237e-05
2024-03-15,-0.0310749332285996,-0.0384974389704738,9.225209393884848e-05,0.0001120901304085
2024-03-16,-0.0595029481310203,-0.0581935992788002,-0.0006392683039721,0.0001824663889133
2024-03-17,0.0369948090598817,0.0337131946596735,2.4606633205850832e-05,0.0001871430650341
2024-03-18,-0.0101129128480719,-0.0344179974837947,0.0003038644794749,-8.059980665599937e-05
2024-03-19,-0.0867378477717742,-0.1077304280530368,-0.0003602596796603,0.0001537709002522
2024-03-20,0.0861331024103721,0.1071042454460859,0.0005973340551062,0.0001700816111793
2024-03-21,-0.0324682612796923,-0.0054838193334811,-9.50599560374334e-05,9.586154332427016e-05
2024-03-22,-0.0316165650712149,-0.0463392673157462,-2.216891881048578e-05,2.956795435772264e-05
2024-03-23,0.0097174475617667,0.0012113164554674,6.495677552699792e-05,0.0001807463326923
2024-03-24,0.0411192707186785,0.0351066972122351,-0.0001109328655793,8.738252895565979e-05
2024-03-25,0.0411304357472616,0.0390211056679416,0.0002077747383335,-0.0001368822863121
2024-03-26,0.0108031858345357,-0.000601423690414,-0.0001939552528568,4.204488330672357e-05
2024-03-27,-0.0128252802617582,-0.0243210629249298,-0.0003257842897127,2.854548315465162e-05
2024-03-28,0.0157643661980114,0.0176680417114878,0.0001144945142477,-1.2724548662628916e-05
2024-03-29,-0.0053892701714817,-0.0136534810002261,0.0006496225912171,-0.000157991710389
2024-03-30,-0.0096738119014471,-0.0007602846502302,0.0001513540773533,-4.2349940221040426e-05
2024-03-31,0.0228778117074118,0.0394495003506436,-0.0004355123406632,-1.782709088217922e-05
2024-04-01,-0.0177026985117792,-0.0396006446522269,0.0002090420230262,3.987897611725164e-05
2024-04-02,-0.0693292884437346,-0.0668591379840039,0.001867211841561,-2.600754957942282e-05
2024-04-03,0.0040535801367117,0.0107237365168601,-0.0011918629391521,-9.050623647118066e-06
2024-04-04,0.0399411994797139,0.0059407492355771,-0.0004670468197623,2.7781729449027705e-05
2024-04-05,-0.0133527441812266,-0.0030155274793505,-0.0001111580727677,-0.0001624945330615
2024-04-06,0.0176910730173462,0.0109195009462987,-0.0001127230814149,8.296187056799609e-05
2024-04-07,0.0108104268832636,0.0295181680122042,0.0002249240083779,-0.0001013913827658
2024-04-08,0.0250083760839167,0.0680131059554438,-0.0002444806896685,0.0002382004421492
2024-04-09,-0.029455936226678,-0.0524826673487891,-0.0006092802314074,-6.44294339083095e-05
2024-04-10,0.0203928174527948,0.0112847057373224,0.0001634307609975,0.0001734776523999
2024-04-11,-0.0117389409145248,-0.0105806322113811,9.048123618153814e-05,0.0002500436026467
2024-04-12,-0.0418721127228553,-0.0774116379652324,-0.0013623575760926,-0.000122093192047
2024-04-13,-0.0502685055554176,-0.0759251859203865,-0.0008171907594732,-8.767907165911144e-05
2024-04-14,0.0196945870306254,0.0496993717293869,-0.0004076330478222,0.0002542814253885
2024-04-15,-0.0346257311634755,-0.0173455993897101,0.0004907596910641,5.405870109241194e-05
2024-04-16,0.0065028785678746,-0.0050524515050424,0.0004624156145823,-7.011499473164849e-05
2024-04-17,-0.0423949686472757,-0.0326773257629452,0.0006022943618575,-5.868282160777023e-05
