date,logret,residual
2024-02-21,0.0001000184957563,0.00010020935663317898
2024-02-22,-1.0013320099940312e-05,3.0180333547611232e-05
2024-02-23,-2.026517457763152e-06,2.7775835987399197e-05
2024-02-24,0.0001050158791291,0.00012105053729949828
2024-02-25,-0.0002489687286502,-0.00016486114353422908
2024-02-26,7.49892046893836e-05,-2.0396798998174832e-05
2024-02-27,-2.8969725684951577e-05,-7.605699446577667e-05
2024-02-28,3.099638290342246e-05,-1.3526836731350133e-05
2024-02-29,-0.0001980357388847,-0.00022384278823081152
2024-03-01,0.0001880216279293,2.8795227911412993e-05
2024-03-02,-0.0001470043835706,-0.0001643865804371136
2024-03-03,9.502476791359624e-05,-6.442292413252781e-06
2024-03-04,4.494583491161952e-05,5.0679382629661795e-06
2024-03-05,6.300422192957908e-05,7.96831349344044e-05
2024-03-06,-0.0001970131560193,-0.00014142125490809623
2024-03-07,-9.30060799818016e-05,-0.00018363823009716164
2024-03-08,0.0001890436652677,2.1939432100367512e-05
2024-03-09,0.0001419828086358,0.0001392935062020204
2024-03-10,-4.398748062175626e-05,7.206093844713383e-05
2024-03-11,-3.796906963748077e-05,3.5465930320537614e-05
2024-03-12,-3.039972146704604e-06,2.8511755709553385e-05
2024-03-13,-0.0001850384496577,-0.0001592514253788185
2024-03-14,0.0001630430817383,4.660455314133237e-05
2024-03-15,0.0001049654093447,0.00011209013040850438
2024-03-16,7.90297153929055e-05,0.00018246638891332027
2024-03-17,3.802263014433307e-05,0.0001871430650341413
2024-03-18,-0.0002480074852442,-8.059980665599937e-05
2024-03-19,0.000192939758482,0.00015377090025229829
2024-03-20,7.604511075916206e-05,0.00017008161117933955
2024-03-21,-6.698614211791204e-05,9.586154332427015e-05
2024-03-22,-5.805033943496749e-05,2.956795435772264e-05
2024-03-23,0.000148039584291,0.00018074633269239828
2024-03-24,-4.9940051091065866e-05,8.738252895565979e-05
2024-03-25,-0.0002330468139607,-0.00013688228631215322
2024-03-26,0.0001419802528238,4.2044883306723574e-05
2024-03-27,2.0979419428713173e-05,2.854548315465162e-05
2024-03-28,-5.101889989100525e-05,-1.2724548662628916e-05
2024-03-29,-0.0001469322851349,-0.00015799171038900092
2024-03-30,7.796919112165968e-05,-4.2349940221040426e-05
2024-03-31,3.999559750930826e-05,-1.782709088217922e-05
2024-04-01,5.006674971640569e-05,3.987897611725164e-05
2024-04-02,-5.203370891460938e-05,-2.600754957942282e-05
2024-04-03,1.966959198203692e-06,-9.050623647118066e-06
2024-04-04,4.208007911198982e-05,2.7781729449027705e-05
2024-04-05,-0.0001850821360161,-0.0001624945330615742
2024-04-06,0.0002010554134385,8.296187056799609e-05
2024-04-07,-0.0001350060696666,-0.0001013913827658346
2024-04-08,0.0002890039845627,0.00023820044214925443
2024-04-09,-0.00021699847921,-6.44294339083095e-05
2024-04-10,0.0001709922984026,0.00017347765239996118
2024-04-11,0.0001499294512041,0.0002500436026467964
2024-04-12,-0.0003519764682918,-0.00012209319204709335
2024-04-13,-2.199519223335316e-05,-8.767907165911144e-05
2024-04-14,0.0003509712251247,0.0002542814253885349
2024-04-15,-0.0001349147601773,5.405870109241194e-05
2024-04-16,-0.0001550791124119,-7.011499473164849e-05
2024-04-17,2.0265539362270675e-06,-5.868282160777023e-05
2024-04-18,0.0001590120752399,0.00010630872839121976
2024-04-19,-7.199333945525594e-05,1.7583925545943188e-06
2024-04-20,-3.099210619383334e-05,-8.96302834037558e-06
2024-04-21,-5.197353403916556e-05,-6.625557759372687e-05
2024-04-22,4.291412157776255e-05,-5.301295913879387e-06
2024-04-23,-5.197400490321655e-05,-6.756062870289583e-05
2024-04-24,0.0004539660459164,0.0004069744379462612
2024-04-25,-0.0004509858120789,-0.00015709253125420453
2024-04-26,7.509896079680383e-05,3.075721396448093e-05
2024-04-27,-4.207856426175576e-05,-7.411354890808297e-05
2024-04-28,3.003926919452078e-05,1.2513495999462978e-06
2024-04-29,-5.30461450924536e-05,-7.493211447558887e-05
2024-04-30,-7.498463205997422e-05,-0.00012203013681880117
2024-05-01,3.0042212887817632e-05,-7.795332518574478e-05
2024-05-02,0.0001360131704805,6.321744538849749e-05
2024-05-03,6.889356578538301e-05,0.00010910815641408499
2024-05-04,-7.890617452060956e-05,1.712738881815862e-05
2024-05-05,0.0001339699370604,0.0001601642327069938
2024-05-06,-0.0002079948334192,-8.938065042101746e-05
2024-05-07,-0.0001680365864725,-0.00020723892160146072
2024-05-08,6.104245128827098e-05,-0.00012090161256528085
2024-05-09,0.0001569406810661,4.120871640738486e-05
2024-05-10,3.409095921203861e-05,5.4605756773164435e-05
2024-05-11,-0.0001370264843821,-8.45483816211157e-05
2024-05-12,6.192947510311837e-05,3.2991081295207013e-06
2024-05-13,-3.93380831089037e-06,-1.7448349270514433e-05
2024-05-14,8.093796979209907e-05,7.487119776765126e-05
2024-05-15,2.4077483727704465e-05,7.502788935917036e-05
2024-05-16,-0.0001570504650476,-8.548487282507027e-05
2024-05-17,4.70283240238064e-05,-1.0304073784459149e-05
2024-05-18,6.401218737015296e-05,3.93091637103284e-05
2024-05-19,-0.0001290417986653,-9.428455305264317e-05
2024-05-20,-4.9952289017402125e-05,-0.000116079078378988
2024-05-21,0.0001359621375259,3.0939355953626136e-05
2024-05-22,-0.0001779883706644,-0.00016716042758291443
2024-05-23,0.0002210203208212,0.00010547144628822527
2024-05-24,-2.026393778971789e-06,4.538748421112143e-05
2024-05-25,-0.0001659994357446,-0.00010119818121282207
2024-05-26,3.898403085835365e-05,-4.1277329394151106e-05
2024-05-27,8.004959860712239e-05,3.369508111969234e-05
2024-05-28,-3.50469880010668e-05,-1.0409709492214214e-05
2024-05-29,5.006674971640569e-05,4.847593055493475e-05
2024-05-30,-5.704053160461043e-05,-2.4461024138940387e-05
2024-05-31,9.899930544665764e-05,9.056926214656519e-05
2024-06-01,-5.900502861637984e-05,1.4444177452527186e-06
2024-06-02,-0.0001220143697723,-0.00010231641891526725
2024-06-03,5.501858130283405e-05,-2.8819937570003476e-05
2024-06-04,0.0001519857658421,0.00011589527357412352
2024-06-05,-8.403633306863662e-05,4.282694318954474e-06
2024-06-06,-0.0002079755873127,-0.00018529627179233096
2024-06-07,0.000269006931218,0.00012281054348646354
2024-06-08,-7.70050059594507e-05,-1.2955103375295426e-05
2024-06-09,-6.395680742076331e-05,-4.157156417956903e-05
2024-06-10,-1.7047891700760073e-05,-6.285153085963012e-05
2024-06-11,0.0001470434099888,9.860143331833895e-05
2024-06-12,-0.0001080005908896,-4.36522572641873e-05
2024-06-13,1.0013790420033438e-05,-2.060740078453179e-06
2024-06-14,-5.8057536704170605e-05,-7.485460551971694e-05
2024-06-15,0.0001560443371738,0.00010553315951254242
2024-06-16,-0.0001119942138486,-4.7178087514812415e-05
2024-06-17,8.89884431540573e-05,7.728747459033396e-05
2024-06-18,-3.00394195882227e-05,1.1155708846111542e-05
2024-06-19,7.104415480648647e-05,9.942837591617704e-05
2024-06-20,-5.197140286647763e-05,1.7267625947164424e-05
2024-06-21,-1.4066119343863876e-05,1.822124741494182e-05
2024-06-22,-3.1947514527809706e-05,-2.257417256217107e-05
2024-06-23,-5.400315687316141e-05,-6.596209674377433e-05
2024-06-24,0.0001039505005818,4.874026997802e-05
2024-06-25,-3.492711646909334e-05,-6.9346703539736705e-06
2024-06-26,-0.0001940882490069,-0.00018740039264775538
2024-06-27,-1.5977000750066567e-05,-0.00016270620185428338
2024-06-28,0.0002299726635944,7.817887927260807e-05
2024-06-29,-0.0002209706653594,-0.00017788448913437754
2024-06-30,0.000117018603379,2.6747226406830736e-06
2024-07-01,1.1981264521279453e-05,-2.348145000028536e-05
2024-07-02,-6.497474809370484e-05,-6.7296530716873e-05
2024-07-03,2.3963655362293365e-05,-3.643918897649082e-05
2024-07-04,2.1995984154121487e-05,-1.2765131302583813e-05
2024-07-05,8.201869959419642e-05,6.936853837676086e-05
2024-07-06,-7.200442806500857e-05,-2.045547556393927e-05
2024-07-07,-3.3977399786779125e-05,-3.712251205643613e-05
2024-07-08,2.098267093741005e-05,-1.4966241697859676e-05
2024-07-09,4.899759096158084e-05,3.483696403031137e-05
2024-07-10,-3.296283524075621e-05,-7.855822686549867e-06
2024-07-11,5.495732344674095e-05,5.563589799752605e-05
2024-07-12,3.0398505633328444e-06,4.130938818027533e-05
2024-07-13,0.0001180105848519,0.00016021877697800283
2024-07-14,-0.0001710602839087,-4.74577575402265e-05
2024-07-15,0.0001209968881434,0.00011145009006218007
2024-07-16,7.604769409892258e-05,0.00014200554786575223
2024-07-17,-5.602203503056936e-05,7.708290749895056e-05
2024-07-18,-0.0001459700221651,-7.385647592622178e-05
2024-07-19,5.698389151570599e-05,9.14922437223942e-06
2024-07-20,5.5967418751660525e-05,4.7594896139975084e-05
