date,BTC_USDe,BTC_USDC,ETH_USDe,ETH_USDC
2024-06-20,-0.0011135917715988917,-0.00020661158752644705,-0.0010931046657938254,-0.00021373200288419156
2024-06-21,-0.0011134682378541835,-0.00020537811872286364,-0.001093414083385104,-0.0002126485320490927
2024-06-22,-0.0011145228664795352,-0.00020535562603401234,-0.001094860548851985,-0.00021289813342249665
2024-06-23,-0.0011133037412191112,-0.00020415341468048707,-0.00109665326461246,-0.0002126582943917926
2024-06-24,-0.001114781318361164,-0.0002031942029350204,-0.0010419792286316698,-0.0002100816783735247
2024-06-25,-0.0011145320215877835,-0.00020351862365561955,-0.0010503323590473534,-0.00019589436888929845
2024-06-26,-0.0011150256294242178,-0.00020288289676393613,-0.0010497351940584394,-0.00019498795726309958
2024-06-27,-0.0011167249405828537,-0.00020274565042389128,-0.0010549121256522734,-0.0001902820458041236
2024-06-28,-0.001117604370745914,-0.00020234041302625482,-0.0010506044431765416,-0.0001877429606733129
2024-06-29,-0.0011131168410366205,-0.0002033672644757943,-0.0010154858497620515,-0.00019210809773705616
2024-06-30,-0.0011108329850888785,-0.00020199694812318678,-0.0010148632986156816,-0.00020614246791619527
2024-07-01,-0.0011071304488459905,-0.00020382535520475665,-0.0010158368759764756,-0.00019965696532322843
2024-07-02,-0.0011060550143517098,-0.00020377969760804513,-0.0010159294173891834,-0.00020922509197094538
2024-07-03,-0.0011032519212933864,-0.00020134890889796057,-0.0010158328873145193,-0.00020656931277420552
2024-07-04,-0.001102661356468085,-0.00020180985297123382,-0.0010179351492137052,-0.0002065906521736788
2024-07-05,-0.0011111890546859507,-0.00019686838446202144,-0.0010381461553535325,-0.00019905205750166724
2024-07-06,-0.001110765628565905,-0.0002048944297253325,-0.001039305397243196,-0.0002014058445525237
2024-07-07,-0.0011108295351382601,-0.0001974686468783288,-0.001027971614827193,-0.00019815195557992097
2024-07-08,-0.0011100471245398674,-0.00020060901854254947,-0.001022915439983893,-0.00019631517328708913
2024-07-09,-0.0009913388580623478,-0.00020277477056820364,-0.0010065640982009928,-0.00019870127895075775
2024-07-10,-0.0009172119766394898,-0.00019839002916216149,-0.0009923911771229075,-0.00020177224295179924
