date,close,volume
2024-02-20,1.001731038093567,60860244
2024-02-21,1.0017789602279663,59400185
2024-02-22,1.0009249448776245,77652404
2024-02-23,1.001546025276184,14811761
2024-02-24,1.001423954963684,16077066
2024-02-25,1.0014879703521729,24889341
2024-02-26,1.0023670196533203,62657849
2024-02-27,1.0020129680633545,35901491
2024-02-28,1.003113031387329,76052074
2024-02-29,1.0017880201339722,163582081
2024-03-01,1.002364993095398,98201807
2024-03-02,1.0023239850997925,126743450
2024-03-03,1.0019890069961548,99141588
2024-03-04,1.0027869939804077,122896070
2024-03-05,1.0026739835739136,103092775
2024-03-06,1.0022850036621094,44527519
2024-03-07,1.002897024154663,30576049
2024-03-08,1.0035289525985718,26779492
2024-03-09,1.0037239789962769,31820115
2024-03-10,1.002437949180603,49585348
2024-03-11,1.0016649961471558,100624572
2024-03-12,1.0018579959869385,170370274
2024-03-13,1.0022979974746704,146188026
2024-03-14,1.0009009838104248,113216395
2024-03-15,1.0013389587402344,71865941
2024-03-16,1.0007790327072144,48044156
2024-03-17,1.0009269714355469,42987525
2024-03-18,1.0013550519943237,60832165
2024-03-19,1.0008230209350586,63644610
2024-03-20,1.0016340017318726,71532557
2024-03-21,1.0013090372085571,79446719
2024-03-22,1.0013680458068848,124474927
2024-03-23,1.0014159679412842,53115339
2024-03-24,1.001330018043518,65948710
2024-03-25,1.0015480518341064,54987399
2024-03-26,1.0013359785079956,62993165
2024-03-27,1.0010360479354858,96231189
2024-03-28,1.0013079643249512,111284090
2024-03-29,1.0019079446792603,298774322
2024-03-30,1.0018939971923828,59551832
2024-03-31,1.0013630390167236,18919852
2024-04-01,1.001742959022522,63542199
2024-04-02,1.003533959388733,896702704
2024-04-03,1.0017640590667725,578335471
2024-04-04,1.0015549659729004,252559057
2024-04-05,1.0016920566558838,100095207
2024-04-06,1.0015219449996948,102631374
2024-04-07,1.001871943473816,160834313
2024-04-08,1.001479983329773,436376130
2024-04-09,1.0010110139846802,264729536
2024-04-10,1.001315951347351,203037067
2024-04-11,1.0014430284500122,153882284
2024-04-12,0.9999899864196777,252935818
2024-04-13,0.999675989151001,199773875
2024-04-14,0.999550998210907,150909664
2024-04-15,1.0002659559249878,88154897
2024-04-16,1.0006109476089478,90971655
2024-04-17,1.0011210441589355,76828334
2024-04-18,1.0010039806365967,49206167
2024-04-19,1.000938057899475,83427207
2024-04-20,1.0002050399780273,47644510
2024-04-21,0.9999160170555115,90828049
2024-04-22,0.9999970197677612,78359209
2024-04-23,0.9995449781417847,70939492
2024-04-24,0.9984850287437439,83780471
2024-04-25,0.9996140003204346,86865860
2024-04-26,0.9985569715499878,125551388
2024-04-27,0.9984350204467773,34073037
2024-04-28,0.9983000159263611,62450539
2024-04-29,0.9981489777565002,67979712
2024-04-30,0.9988319873809814,127745280
2024-05-01,0.9977800250053406,127801621
