date,logret_BTC,logret_ETH,logret_USDe,logret_USDC
2024-02-21,-0.0085609043152299,-0.014421777074224,4.783817844552867e-05,0.0001000184957563
2024-02-22,-0.0103585476400152,0.0002194296137369,-0.0008528623726456,-1.0013320099940312e-05
2024-02-23,-0.0112318061155125,-0.0167497288331501,0.0006203140297482,-2.026517457763152e-06
2024-02-24,0.0164055941302176,0.0239197250362117,-0.0001218893082326,0.0001050158791291
2024-02-25,0.0031390133682371,0.0394185803791824,6.392231999963953e-05,-0.0002489687286502
2024-02-26,0.052511187656945,0.0210750468838973,0.0008773582538853,7.49892046893836e-05
2024-02-27,0.0459362164404737,0.0204025144361796,-0.0003532779171792,-2.8969725684951577e-05
2024-02-28,0.0906952929770419,0.0425946193780362,0.0010972511798713,3.099638290342246e-05
2024-02-29,-0.0211224142700192,-0.0130164233010781,-0.0013217724089277,-0.0001980357388847
2024-03-01,0.0200954657884242,0.027487237303692,0.0005757773718443,0.0001880216279293
2024-03-02,-0.0066005473120913,-0.0037929033703285,-4.091207769108202e-05,-0.0001470043835706
2024-03-03,0.0181722046590131,0.0199466802026186,-0.0003342572822483,9.502476791359624e-05
2024-03-04,0.0785670808490071,0.0391657458763159,0.0007960859727052,4.494583491161952e-05
2024-03-05,-0.0685829818149201,-0.0210070504160473,-0.0001127026732293,6.300422192957908e-05
2024-03-06,0.0354997002008659,0.071702762354878,-0.0003880178289539,-0.0001970131560193
2024-03-07,0.0123081400525162,0.0143294342144955,0.0006104388559926,-9.30060799818016e-05
2024-03-08,0.020331312236987,0.0045615445502829,0.0006299045886815,0.0001890436652677
2024-03-09,0.0029062966320196,0.0059834876050164,0.0001943216973297,0.0001419828086358
2024-03-10,0.0075758256572058,-0.0087797237225828,-0.0012820799495477,-4.398748062175626e-05
2024-03-11,0.0439922985827472,0.0466265599074269,-0.0007713706260206,-3.796906963748077e-05
2024-03-12,-0.0089498360493482,-0.0214187117111475,0.00019266046972,-3.039972146704604e-06
2024-03-13,0.022166899064075,0.0065568589305069,0.000439089069151,-0.0001850384496577
2024-03-14,-0.0233524614583817,-0.0312631146419182,-0.0013947829484526,0.0001630430817383
